scenario,run_tag,m_med,m_dm,lambda,width,xsec_pb,nevents
S3M_br,mMed200_mDM10_lam5p0,200.0,10.0,5.0,98.9751,573.8685839999999,10000
S3M_br,mMed200_mDM50_lam1p0,200.0,50.0,1.0,3.497057,52.421020204,10000
S3M_br,mMed200_mDM50_lam1p5,200.0,50.0,1.5,7.868378,66.515236273,10000
S3M_br,mMed200_mDM50_lam2p0,200.0,50.0,2.0,13.98823,85.78031574,10000
S3M_br,mMed200_mDM50_lam2p2,200.0,50.0,2.2,16.92576,94.87879416999999,10000
S3M_br,mMed200_mDM50_lam2p5,200.0,50.0,2.5,21.85661,110.06699492999999,10000
S3M_br,mMed200_mDM50_lam3p0,200.0,50.0,3.0,31.47351,140.5025539,10000
S3M_br,mMed200_mDM50_lam3p5,200.0,50.0,3.5,42.83895,179.05500410000002,10000
S3M_br,mMed200_mDM50_lam4p0,200.0,50.0,4.0,55.95291,226.232335,10000
S3M_br,mMed200_mDM50_lam4p5,200.0,50.0,4.5,70.8154,287.118688,10000
S3M_br,mMed200_mDM50_lam5p0,200.0,50.0,5.0,87.42642,360.914256,10000
S3M_br,mMed200_mDM100_lam1p0,200.0,100.0,1.0,2.238116,45.9659879328,10000
S3M_br,mMed200_mDM100_lam1p5,200.0,100.0,1.5,5.035762,55.643208771999994,10000
S3M_br,mMed200_mDM100_lam2p0,200.0,100.0,2.0,8.952466,67.990457275,10000
S3M_br,mMed200_mDM100_lam2p2,200.0,100.0,2.2,10.83248,74.19453813,10000
S3M_br,mMed200_mDM100_lam2p5,200.0,100.0,2.5,13.98823,84.04936829,10000
S3M_br,mMed200_mDM100_lam3p0,200.0,100.0,3.0,20.14305,99.07787556,10000
S3M_br,mMed200_mDM100_lam3p5,200.0,100.0,3.5,27.41693,119.77011671999999,10000
S3M_br,mMed200_mDM100_lam4p0,200.0,100.0,4.0,35.80986,144.3041705,10000
S3M_br,mMed200_mDM100_lam4p5,200.0,100.0,4.5,45.32186,173.8618098,10000
S3M_br,mMed200_mDM100_lam5p0,200.0,100.0,5.0,55.95291,210.1663681,10000
S3M_br,mMed500_mDM1_lam1p0,500.0,1.0,1.0,9.947104,0.69184392018,10000
S3M_br,mMed500_mDM1_lam1p5,500.0,1.0,1.5,22.38098,1.1793783798,10000
S3M_br,mMed500_mDM1_lam2p0,500.0,1.0,2.0,39.78842,2.0791702549999997,10000
S3M_br,mMed500_mDM1_lam2p2,500.0,1.0,2.2,48.14399,2.6215653860000003,10000
S3M_br,mMed500_mDM1_lam2p5,500.0,1.0,2.5,62.1694,3.61666461,10000
S3M_br,mMed500_mDM1_lam3p0,500.0,1.0,3.0,89.52394,6.1811461450000005,10000
S3M_br,mMed500_mDM1_lam3p5,500.0,1.0,3.5,121.852,10.104237308,10000
S3M_br,mMed500_mDM1_lam4p0,500.0,1.0,4.0,159.1537,15.72105753,10000
S3M_br,mMed500_mDM1_lam4p5,500.0,1.0,4.5,201.4289,23.56322027,10000
S3M_br,mMed500_mDM1_lam5p0,500.0,1.0,5.0,248.6776,34.23525966,10000
S3M_br,mMed500_mDM10_lam1p0,500.0,10.0,1.0,9.939228,0.692446744,10000
S3M_br,mMed500_mDM10_lam1p5,500.0,10.0,1.5,22.36326,1.1749100805,10000
S3M_br,mMed500_mDM10_lam2p0,500.0,10.0,2.0,39.75691,2.068805385,10000
S3M_br,mMed500_mDM10_lam2p2,500.0,10.0,2.2,48.10586,2.5884154980000003,10000
S3M_br,mMed500_mDM10_lam2p5,500.0,10.0,2.5,62.12017,3.6095474569999997,10000
S3M_br,mMed500_mDM10_lam3p0,500.0,10.0,3.0,89.45305,6.168207475,10000
S3M_br,mMed500_mDM10_lam3p5,500.0,10.0,3.5,121.7555,9.94181511,10000
S3M_br,mMed500_mDM10_lam4p0,500.0,10.0,4.0,159.0276,15.587765560000001,10000
S3M_br,mMed500_mDM10_lam4p5,500.0,10.0,4.5,201.2694,23.64831997,10000
S3M_br,mMed500_mDM10_lam5p0,500.0,10.0,5.0,248.4807,33.98519952,10000
S3M_br,mMed500_mDM50_lam1p0,500.0,50.0,1.0,9.749235,0.6715877228,10000
S3M_br,mMed500_mDM50_lam1p5,500.0,50.0,1.5,21.93578,1.0873984813000002,10000
S3M_br,mMed500_mDM50_lam2p0,500.0,50.0,2.0,38.99694,1.808171477,10000
S3M_br,mMed500_mDM50_lam2p2,500.0,50.0,2.2,47.1863,2.2250376210000002,10000
S3M_br,mMed500_mDM50_lam2p5,500.0,50.0,2.5,60.93272,2.9515635000000002,10000
S3M_br,mMed500_mDM50_lam3p0,500.0,50.0,3.0,87.74311,4.822608737,10000
S3M_br,mMed500_mDM50_lam3p5,500.0,50.0,3.5,119.4281,7.63095033,10000
S3M_br,mMed500_mDM50_lam4p0,500.0,50.0,4.0,155.9878,11.72506348,10000
S3M_br,mMed500_mDM50_lam4p5,500.0,50.0,4.5,197.422,17.30604282,10000
S3M_br,mMed500_mDM50_lam5p0,500.0,50.0,5.0,243.7309,25.023747410000002,10000
